YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
238,13.6,25.7,90,78,143,11,4.25,29,1.97,98.83509797,1.037294911
258,14.9,25,93,83,138,10,4.61,25,2.05,98.97989923,1.528666458
204,16.7,20.5,98,93,677,25,1.89,14,2.53,61.71190435,4.434425668
102,16.4,18.7,99,97,2227,30,0.86,1,3.45,50.21835719,4.833870304
97,15.6,20.4,94,91,622,22,4.05,25,2.43,80.56941077,4.047098251
175,15,21.3,96,90,548,20,3.18,17,2.4,72.74495508,3.398178367
195,14.6,22.7,95,86,178,16,3.13,25,2.13,76.6024744,2.603946058
180,13.7,22.6,95,85,151,11,3.05,21,2.11,70.18962698,2.330649987
167,10,22.8,91,76,46,5,6,27,1.9,89.36419877,1.063846686
155,7.8,23.7,97,67,3,1,6.3,30,1.84,93.73101893,0.72614744
143,5.4,25.4,91,55,0,0,6.8,29,1.64,101.6557172,0.663421551
180,11.2,24.8,87,70,69,8,6.3,30,1.79,111.7326368,0.889847739
224,13.3,24.7,90,80,59,5,4.6,28,1.94,97.87859925,1.276252252
219,15.6,24.7,93,87,480,16,3.2,24,2.28,88.63300271,2.035795638
191,14.8,22,94,90,446,16,3.2,15,2.32,77.62532725,2.894537055
136,15.8,18.7,98,98,867,28,1.1,5,2.69,55.31289813,4.711631129
142,15,20.3,94,92,501,17,2.6,18,2.37,72.2205018,3.847302584
196,14.3,21.5,96,95,393,26,1.8,17,2.36,65.67705777,2.949309983
208,15,22.5,92,89,202,15,2,19,2.14,72.00825592,2.924555274
188,13.2,23.5,92,87,156,12,7,30,2.09,95.35619847,1.721382627
185,8,24,91,71,2,1,7.5,31,1.82,102.0543854,0.709086934
147,5.2,24.5,88,55,0,0,6.37,31,1.61,101.9676948,0.664200096
119,7.3,24.8,89,50,0,0,6.37,29,1.56,95.99166185,0.676966737
113,8.9,26.8,83,47,2,0,6.37,31,1.46,119.9433133,0.67008418
146,13.3,25.6,89,68,105,10,4.98,20,1.83,103.3286518,1.067966563
273,15.3,25,88,81,176,9,5.6,22,1.99,108.9753961,1.797822725
246,15.9,21.4,97,93,875,24,2.2,7,2.62,66.2346213,3.815794375
110,16.2,19.4,98,97,1128,29,0.2,2,2.82,51.01673549,4.65437146
116,15.4,20.9,96,91,667,25,1.9,6,2.47,67.38212097,3.813639506
155,15.8,19.8,97,94,612,25,1.9,5,2.49,61.2058542,4.438987554
157,14.4,22.1,93,83,287,15,4.3,16,2.15,83.93672569,2.921300245
177,10.5,23.6,88,73,22,3,5.93,27,1.83,93.61503636,1.037699875
168,10.8,22.8,86,67,40,3,7.2,28,1.74,97.02484085,1.357283422
154,5.1,23.4,92,57,0,0,7.8,31,1.67,103.8681055,0.676967339
179,8.4,23.2,96,61,16,2,6.1,28,1.77,86.74348082,0.839338167
188,10.4,23.5,83,71,152,12,5.1,19,1.81,103.3010062,1.04150435
220,15.6,24.5,99,83,57,5,5.4,25,2.08,93.8786832,2.342213033
278,12.8,24,98,79,33,7,6.8,24,2.01,107.2022049,1.318856587
215,14.8,20.6,89,74,505,24,2.1,6,2.11,72.39588718,3.66938896
172,13.9,20.7,92,72,968,24,2.4,7,2.39,73.80974639,3.151141249
144,14,21,94,72,900,26,1.8,5,2.37,70.13704742,3.039838944
195,12.1,22.1,90,74,449,15,5,15,2.09,92.09682009,1.649447315
255,13.9,22.6,94,80,267,20,3.2,11,2.1,78.32297266,2.327323429
185,11,22.4,91,78,30,5,5,25,1.91,84.07346668,1.352700386
174,8.4,23,85,67,14,4,6,27,1.71,93.63695226,0.812061824
121,4.5,25.1,72,53,3,0,7.9,31,1.4,113.8211613,0.662625492
110,5.7,26.9,80,47,2,0,8,29,1.43,113.278781,0.661972821
137,9.2,24.8,85,65,132,10,6.5,30,1.76,116.1986624,0.72382001
211,12.1,24.2,82,76,47,7,5.5,27,1.8,107.1085188,1.098412131
267,15.2,24.2,82,76,47,7,5,29,1.8,106.4848636,2.098946129
238,16,21,93,92,436,20,3.2,18,2.32,75.61960868,4.0120834
164,16.2,18.8,86,98,1558,28,1.3,7,2.94,70.79072158,4.790550797
149,16.3,20.7,96,94,291,25,3.2,18,2.3,74.45101155,4.242384262
200,15.7,21,94,94,839,19,2.9,18,2.58,72.80353268,3.886237565
202,12.7,22.2,87,89,405,10,5.6,26,2.2,97.27328824,1.889230582
218,13.4,22.1,89,85,141,11,3.8,23,2.03,76.59716438,2.331772854
205,12,22.9,87,79,50,3,5.2,28,1.89,87.28736671,1.474880845
173,8.1,23.1,89,74,27,2,7.2,31,1.85,100.0728948,0.74492343
159,7.8,25.4,87,67,0,0,6.8,29,1.73,102.2379077,0.671228305
153,9.1,26,80,63,12,2,8,31,1.61,129.7343214,0.674145718
189,14.4,25.3,86,85,208,11,6,30,2.04,110.6672763,1.275333467
