YPH,Tmin,Tmax,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
119,16,26.6,91,61,2,1,7.2,31,1.7,101.2989774,1.293332788
96,15.6,27.2,89,56,7,2,8.1,31,1.63,111.7843457,1.040171786
68,13.7,28.2,88,68,0,0,8.35,30,1.75,113.4520969,0.713758021
68,17.9,30.9,90,55,70,4,7.3,31,1.66,131.4475943,0.809894797
141,19.7,30.5,90,66,64,8,7,30,1.79,128.9633951,1.201847666
166,19.4,27,91,78,263,15,3,19,2.04,92.8151792,2.548430501
125,19.1,24.8,91,79,425,21,2,13,2.14,76.16215239,3.534485572
114,18.7,25,92,81,162,19,0.43,6,2.03,67.44776533,3.205467925
99,19.5,25.8,92,73,299,15,1,10,2.01,73.40861312,3.186999795
129,19,25.9,92,77,220,15,3,21,2.01,84.60579706,2.870104795
158,18.6,25.6,91,73,241,17,3.4,21,1.98,86.37456028,2.856798706
138,17.6,26.6,92,71,168,10,3.45,24,1.92,81.01263038,1.911097193
109,15.3,26.4,89,65,3,1,5.57,29,1.73,93.91857698,1.167386813
86,14.5,27.7,88,61,105,3,6.47,31,1.73,105.2032714,0.806572326
91,15.4,29,84,61,0,0,7.47,28,1.63,112.2162072,0.773387808
132,17.2,30.2,89,61,54,2,7.13,31,1.71,130.3272766,0.823878149
199,19.6,28.4,90,73,178,14,4.53,25,1.93,103.8309629,2.002562384
208,19.9,29.9,90,72,83,7,5.16,23,1.86,115.6238239,1.435717544
158,19.7,25.9,92,83,291,22,1.16,16,2.13,73.02706038,3.263581611
119,18.2,25.4,92,84,650,21,10.1,10,2.34,129.1830759,2.683315605
103,18,25.8,89,77,155,12,3.28,23,1.95,92.50516173,2.348261257
132,18.1,25,93,78,318,18,2.39,16,2.1,77.27145358,2.873368984
153,18.1,27,90,72,146,18,3.67,27,1.9,91.98159154,1.883963286
134,19.7,25.7,90,75,190,14,2.35,18,1.96,74.00012492,3.450686248
115,16.1,25.5,95,70,91,7,4.49,26,1.9,81.77046234,1.763928753
112,14.1,25.7,88,61,19,2,5.19,28,1.68,93.02877619,1.072483149
89,12.5,28.4,86,45,4,1,7.07,27,1.47,106.4001381,0.678582015
123,17.7,29.8,83,50,57,4,5.8,16,1.52,120.7879373,0.954198423
185,19.4,29.9,90,52,91,6,4.92,26,1.64,111.3405263,1.299972412
175,18.7,27.4,91,63,300,17,2.98,18,1.9,93.55442511,1.968251045
154,18.2,26,91,69,189,12,4.01,22,1.9,91.24951957,2.361585249
109,18.7,24.7,90,80,255,23,3.4,14,2.05,88.11073459,3.351506408
115,17.9,25.2,91,79,192,14,3.98,20,2.02,93.47573938,2.634209292
129,18.1,25.2,91,82,227,21,3.66,15,2.07,87.87397227,2.776328786
137,18.3,25.5,91,83,375,24,1.22,15,2.16,72.66463205,2.761794063
134,18.6,25.2,92,84,160,14,2.89,21,2.06,74.24660309,3.120630627
123,15.6,25.2,88,57,2,1,5.74,29,1.63,92.07031684,1.639257904
86,14,26,85,65,4,1,6.15,29,1.69,100.2624262,0.946261979
63,15,28,81,65,12,2,6.6,28,1.64,105.6568152,0.815864782
60,18,30,88,51,1,0,7.9,31,1.56,133.8387662,0.949014826
109,19,31,88,64,217,11,6.28,30,1.83,126.7140305,0.923971683
205,19,29,88,66,51,8,5.05,30,1.76,114.5219313,1.376991061
139,19,26,92,83,587,23,1.96,14,2.29,78.34520288,2.774924781
115,19,24,94,83,577,30,0.39,4,2.31,63.73733464,3.83907839
109,18,25,91,73,29,21,1.94,17,1.86,79.36316742,2.75652403
108,19,25,92,74,281,23,1.22,12,2.02,70.84790357,3.323560004
117,17,26,91,68,418,21,2.69,25,2.02,84.27356759,1.786698254
127,16,26,90,74,133,11,4.51,28,1.92,87.99398183,1.450486861
104,15,25,89,70,141,6,4.9,24,1.86,87.07999224,1.497008558
89,14,26,87,71,2,1,6.18,30,1.77,99.5681073,0.966838017
114,15,27,90,79,93,5,5.64,24,1.95,95.14368408,0.978440347
126,16,25,89,78,164,14,3.68,17,1.97,91.42789384,1.937640077
164,19,29,90,69,29,4,6.29,26,1.8,116.8209494,1.470080006
171,19,28,90,72,64,4,5.56,27,1.85,112.9544408,1.823247146
139,19,26,91,73,235,22,2.52,6,1.97,81.98314367,2.809848279
132,19,25,92,76,418,21,1.79,11,2.12,76.57302087,3.3389715
111,19,25,97,86,264,17,2.46,12,2.2,76.16937212,3.324965182
151,18,26,93,75,184,13,3.82,17,1.99,89.26407904,2.232892403
177,18,26,92,92,332,15,6.7,13,2.25,107.3141053,2.286485694
142,17,26,92,74,63,6,3.19,21,1.9,78.45376669,1.858258851
131,16,25,89,72,13,4,4.51,26,1.81,85.282306,1.902266728
76,13,25,87,57,3,1,5.9,30,1.62,95.0261648,0.951784403
56,13,29,89,76,0,0,7.4,28,1.85,110.4171814,0.672898951
89,18,31,85,57,37,3,7,28,1.61,132.3393872,0.799009635
158,20,31,93,55,53,5,5.7,25,1.69,117.6989552,1.109464717
142,20,29,100,62,104,11,4.3,20,1.88,98.08032625,1.762466878
164,20,26,91,75,252,18,2.2,12,2,80.25979382,3.3389715
150,19,25,98,85,569,23,1.1,8,2.37,64.72310141,3.324965182
162,20,26,98,78,117,11,2,20,2.04,73.9280101,3.310876277
159,19,26,100,72,217,15,2.2,15,2.05,70.86838677,2.768242022
184,19,28,96,66,137,8,4.4,23,1.89,93.97343231,1.77976353
192,19,27,100,68,273,12,2.9,18,2.04,70.39684464,2.331037164
155,18,26,97,72,33,4,3.6,27,1.91,74.60804311,2.402028656
157,16,27,91,72,8,1,5.66,29,1.83,96.06722137,1.190827711
95,16,30,87,72,1,0,6.46,28,1.78,108.5044026,0.734774852
87,19,30,89,64,10,2,7.32,29,1.72,129.5118973,1.177849332
145,21,32,93,59,169,12,5.34,18,1.8,117.3865751,1.139910883
205,21,30,89,75,82,6,3.82,25,1.89,107.8446318,1.77976353
153,20,27,91,77,374,18,1.75,11,2.1,80.0795805,2.759875019
